Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2014,201405,May-14,4,0,2,Exports,56,Belgium,,703,Slovakia,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,1330,,6567,,,0
HS,2014,201404,Apr-14,4,0,2,Exports,56,Belgium,,620,Portugal,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,1031,,3884,,,0
HS,2014,201410,Oct-14,4,0,2,Exports,56,Belgium,,710,South Africa,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,120946,,346199,,,0
HS,2014,201410,Oct-14,4,0,2,Exports,56,Belgium,,729,Sudan,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,32000,,89978,,,0
HS,2014,201403,Mar-14,4,0,2,Exports,56,Belgium,,132,Cabo Verde,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,49952,,264079,,,0
HS,2014,201410,Oct-14,4,0,2,Exports,56,Belgium,,740,Suriname,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,16410,,69110,,,0
HS,2014,201410,Oct-14,4,0,2,Exports,56,Belgium,,760,Syria,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,50000,,134967,,,0
HS,2014,201410,Oct-14,4,0,2,Exports,56,Belgium,,764,Thailand,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,897445,,2970163,,,0
HS,2014,201409,Sep-14,4,0,1,Imports,56,Belgium,,0,World,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,12611478,,34719119,,,0
HS,2014,201405,May-14,4,0,2,Exports,56,Belgium,,704,Viet Nam,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,16500,,78602,,,0
HS,2014,201403,Mar-14,4,0,2,Exports,56,Belgium,,752,Sweden,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,79270,,337931,,,0
HS,2014,201410,Oct-14,4,0,1,Imports,56,Belgium,,203,Czech Rep.,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,32115,,154867,,,0
HS,2014,201405,May-14,4,0,2,Exports,56,Belgium,,705,Slovenia,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,2964,,17850,,,0
HS,2014,201403,Mar-14,4,0,2,Exports,56,Belgium,,156,China,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,305028,,1357500,,,0
HS,2014,201410,Oct-14,4,0,2,Exports,56,Belgium,,768,Togo,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,36,,77,,,0
HS,2014,201410,Oct-14,4,0,2,Exports,56,Belgium,,780,Trinidad and Tobago,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,30680,,47453,,,0
HS,2014,201410,Oct-14,4,0,2,Exports,56,Belgium,,784,United Arab Emirates,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,259040,,839897,,,0
HS,2014,201407,Jul-14,4,0,1,Imports,56,Belgium,,620,Portugal,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,15509,,79617,,,0
HS,2014,201408,Aug-14,4,0,1,Imports,56,Belgium,,203,Czech Rep.,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,25356,,127628,,,0
HS,2014,201404,Apr-14,4,0,2,Exports,56,Belgium,,203,Czech Rep.,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,7907,,31015,,,0
HS,2014,201410,Oct-14,4,0,1,Imports,56,Belgium,,208,Denmark,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,50683,,200079,,,0
HS,2014,201403,Mar-14,4,0,2,Exports,56,Belgium,,616,Poland,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,78756,,403827,,,0
HS,2014,201403,Mar-14,4,0,2,Exports,56,Belgium,,180,Dem.Rep. of the Congo,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,534,,1894,,,0
HS,2014,201412,Dec-14,4,0,1,Imports,56,Belgium,,203,Czech Rep.,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,19407,,85718,,,0
HS,2014,201404,Apr-14,4,0,2,Exports,56,Belgium,,348,Hungary,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,16711,,82708,,,0
HS,2014,201409,Sep-14,4,0,1,Imports,56,Belgium,,40,Austria,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,7146,,29745,,,0
HS,2014,201403,Mar-14,4,0,2,Exports,56,Belgium,,191,Croatia,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,27783,,138327,,,0
HS,2014,201410,Oct-14,4,0,1,Imports,56,Belgium,,300,Greece,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,2059,,2870,,,0
HS,2014,201410,Oct-14,4,0,2,Exports,56,Belgium,,792,Turkey,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,50000,,136298,,,0
HS,2014,201403,Mar-14,4,0,2,Exports,56,Belgium,,442,Luxembourg,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,45957,,179827,,,0
HS,2014,201412,Dec-14,4,0,1,Imports,56,Belgium,,208,Denmark,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,66,,257,,,0
HS,2014,201408,Aug-14,4,0,1,Imports,56,Belgium,,300,Greece,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,687,,1006,,,0
HS,2014,201404,Apr-14,4,0,2,Exports,56,Belgium,,40,Austria,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,116173,,513395,,,0
HS,2014,201403,Mar-14,4,0,2,Exports,56,Belgium,,192,Cuba,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,400000,,2144224,,,0
HS,2014,201410,Oct-14,4,0,2,Exports,56,Belgium,,818,Egypt,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,173000,,439019,,,0
HS,2014,201407,Jul-14,4,0,1,Imports,56,Belgium,,752,Sweden,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,10818,,46721,,,0
HS,2014,201403,Mar-14,4,0,2,Exports,56,Belgium,,204,Benin,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,16500,,86878,,,0
HS,2014,201403,Mar-14,4,0,2,Exports,56,Belgium,,214,Dominican Rep.,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,4,,57,,,0
HS,2014,201410,Oct-14,4,0,2,Exports,56,Belgium,,854,Burkina Faso,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,36295,,100055,,,0
HS,2014,201412,Dec-14,4,0,1,Imports,56,Belgium,,288,Ghana,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,61,,64,,,0
HS,2014,201407,Jul-14,4,0,2,Exports,56,Belgium,,246,Finland,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,125,,820,,,0
HS,2014,201404,Apr-14,4,0,2,Exports,56,Belgium,,752,Sweden,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,69024,,292781,,,0
HS,2014,201407,Jul-14,4,0,1,Imports,56,Belgium,,251,France,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,2846881,,7961837,,,0
HS,2014,201408,Aug-14,4,0,1,Imports,56,Belgium,,372,Ireland,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,1057,,4243,,,0
HS,2014,201411,Nov-14,4,0,2,Exports,56,Belgium,,0,World,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,25444479,,67244353,,,0
HS,2014,201407,Jul-14,4,0,1,Imports,56,Belgium,,40,Austria,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,2450,,9730,,,0
HS,2014,201401,Jan-14,4,0,2,Exports,56,Belgium,,204,Benin,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,15870,,101539,,,0
HS,2014,201403,Mar-14,4,0,2,Exports,56,Belgium,,246,Finland,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,9,,34,,,0
HS,2014,201410,Oct-14,4,0,2,Exports,56,Belgium,,300,Greece,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,510334,,1095770,,,0
HS,2014,201412,Dec-14,4,0,1,Imports,56,Belgium,,372,Ireland,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,23323,,54189,,,0
HS,2014,201404,Apr-14,4,0,2,Exports,56,Belgium,,616,Poland,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,238156,,963102,,,0
HS,2014,201408,Aug-14,4,0,1,Imports,56,Belgium,,440,Lithuania,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,7087,,27180,,,0
HS,2014,201401,Jan-14,4,0,2,Exports,56,Belgium,,233,Estonia,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,15,,66,,,0
HS,2014,201408,Aug-14,4,0,2,Exports,56,Belgium,,251,France,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,5191261,,14673404,,,0
HS,2014,201411,Nov-14,4,0,2,Exports,56,Belgium,,702,Singapore,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,58051,,180500,,,0
HS,2014,201411,Nov-14,4,0,2,Exports,56,Belgium,,450,Madagascar,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,24000,,103355,,,0
HS,2014,201411,Nov-14,4,0,2,Exports,56,Belgium,,414,Kuwait,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,39660,,127795,,,0
HS,2014,201411,Nov-14,4,0,2,Exports,56,Belgium,,12,Algeria,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,2547760,,7437911,,,0
HS,2014,201411,Nov-14,4,0,2,Exports,56,Belgium,,344,"China, Hong Kong SAR",,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,9873,,159305,,,0
HS,2014,201411,Nov-14,4,0,2,Exports,56,Belgium,,788,Tunisia,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,324,,1918,,,0
HS,2014,201411,Nov-14,4,0,2,Exports,56,Belgium,,478,Mauritania,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,56290,,164809,,,0
HS,2014,201411,Nov-14,4,0,2,Exports,56,Belgium,,740,Suriname,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,37087,,134316,,,0
HS,2014,201411,Nov-14,4,0,2,Exports,56,Belgium,,100,Bulgaria,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,22701,,51514,,,0
HS,2014,201411,Nov-14,4,0,2,Exports,56,Belgium,,324,Guinea,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,68181,,222494,,,0
HS,2014,201411,Nov-14,4,0,2,Exports,56,Belgium,,710,South Africa,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,117200,,298614,,,0
HS,2014,201411,Nov-14,4,0,2,Exports,56,Belgium,,784,United Arab Emirates,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,100077,,217026,,,0
HS,2014,201411,Nov-14,4,0,2,Exports,56,Belgium,,704,Viet Nam,,,,,,,,,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,,,,,,,141500,,405885,,,0
