Year,Period,Trade Flow,Reporter,Partner,Commodity,Commodity Code,Trade Value (US$)
2014,201405,Exports,Belgium,Slovakia,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,6567
2014,201404,Exports,Belgium,Portugal,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,3884
2014,201410,Exports,Belgium,South Africa,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,346199
2014,201410,Exports,Belgium,Sudan,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,89978
2014,201403,Exports,Belgium,Cabo Verde,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,264079
2014,201410,Exports,Belgium,Suriname,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,69110
2014,201410,Exports,Belgium,Syria,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,134967
2014,201410,Exports,Belgium,Thailand,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,2970163
2014,201405,Exports,Belgium,Viet Nam,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,78602
2014,201403,Exports,Belgium,Sweden,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,337931
2014,201410,Imports,Belgium,Czech Rep.,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,154867
2014,201405,Exports,Belgium,Slovenia,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,17850
2014,201403,Exports,Belgium,China,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,1357500
2014,201410,Exports,Belgium,Togo,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,77
2014,201410,Exports,Belgium,Trinidad and Tobago,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,47453
2014,201410,Exports,Belgium,United Arab Emirates,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,839897
2014,201407,Imports,Belgium,Portugal,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,79617
2014,201408,Imports,Belgium,Czech Rep.,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,127628
2014,201404,Exports,Belgium,Czech Rep.,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,31015
2014,201410,Imports,Belgium,Denmark,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,200079
2014,201403,Exports,Belgium,Poland,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,403827
2014,201403,Exports,Belgium,Dem.Rep. of the Congo,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,1894
2014,201412,Imports,Belgium,Czech Rep.,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,85718
2014,201404,Exports,Belgium,Hungary,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,82708
2014,201409,Imports,Belgium,Austria,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,29745
2014,201403,Exports,Belgium,Croatia,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,138327
2014,201410,Imports,Belgium,Greece,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,2870
2014,201410,Exports,Belgium,Turkey,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,136298
2014,201403,Exports,Belgium,Luxembourg,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,179827
2014,201412,Imports,Belgium,Denmark,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,257
2014,201408,Imports,Belgium,Greece,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,1006
2014,201404,Exports,Belgium,Austria,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,513395
2014,201403,Exports,Belgium,Cuba,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,2144224
2014,201410,Exports,Belgium,Egypt,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,439019
2014,201407,Imports,Belgium,Sweden,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,46721
2014,201403,Exports,Belgium,Benin,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,86878
2014,201403,Exports,Belgium,Dominican Rep.,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,57
2014,201410,Exports,Belgium,Burkina Faso,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,100055
2014,201412,Imports,Belgium,Ghana,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,64
2014,201407,Exports,Belgium,Finland,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,820
2014,201404,Exports,Belgium,Sweden,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,292781
2014,201407,Imports,Belgium,France,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,7961837
2014,201408,Imports,Belgium,Ireland,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,4243
2014,201407,Imports,Belgium,Austria,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,9730
2014,201401,Exports,Belgium,Benin,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,101539
2014,201403,Exports,Belgium,Finland,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,34
2014,201410,Exports,Belgium,Greece,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,1095770
2014,201412,Imports,Belgium,Ireland,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,54189
2014,201404,Exports,Belgium,Poland,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,963102
2014,201408,Imports,Belgium,Lithuania,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,27180
2014,201401,Exports,Belgium,Estonia,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,66
2014,201408,Exports,Belgium,France,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,14673404
2014,201411,Exports,Belgium,Singapore,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,180500
2014,201411,Exports,Belgium,Madagascar,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,103355
2014,201411,Exports,Belgium,Kuwait,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,127795
2014,201411,Exports,Belgium,Algeria,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,7437911
2014,201411,Exports,Belgium,"China, Hong Kong SAR",Milk and cream; concentrated or containing added sugar or other sweetening matter,402,159305
2014,201411,Exports,Belgium,Tunisia,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,1918
2014,201411,Exports,Belgium,Mauritania,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,164809
